p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
516,160,26,4,0,0,3,4,4
516,160,26,4,0,0,3,4,4
546,168,32,4,0,0,2,3,3
564,174,38,4,0,0,2,4,4
546,168,40,6,0,0,2,4,4
528,158,42,4,0,0,2,5,5
528,158,42,4,0,0,1,4,4
570,172,48,4,0,0,2,4,5
570,172,48,4,0,0,2,4,5
558,174,44,4,0,0,2,4,5
558,172,46,8,0,0,2,5,6
564,170,34,6,0,0,3,5,6
564,170,34,6,0,0,3,5,6
606,184,38,8,0,0,3,6,6
606,184,38,8,0,0,3,6,6
528,156,28,6,0,0,3,5,5
522,152,26,6,0,0,2,5,5
522,154,22,2,0,0,2,4,4
522,154,22,2,0,0,2,4,4
570,164,32,4,0,0,2,5,5
588,172,36,2,0,0,3,5,5
576,166,32,2,0,0,3,5,5
576,166,32,2,0,0,3,5,5
612,172,28,2,0,0,3,4,4
612,172,28,2,0,0,3,4,4
642,178,36,2,0,0,3,5,5
690,192,42,2,0,0,4,5,5
642,182,32,2,0,0,4,5,5
642,182,32,2,0,0,4,5,5
576,168,48,2,0,0,3,4,4
576,168,48,2,0,0,3,4,4
648,192,54,2,0,0,3,5,5
642,190,58,4,0,0,3,6,6
642,186,52,4,0,0,3,6,6
642,186,52,4,0,0,3,6,6
570,162,50,6,0,0,2,5,5
570,162,50,6,0,0,2,5,5
672,188,50,8,0,0,3,6,6
642,178,48,8,0,0,3,6,6
600,174,36,8,2,0,3,5,6
600,174,36,8,2,0,3,5,6
600,174,36,6,2,0,3,5,6
600,174,36,6,2,0,3,5,6
720,216,40,6,2,0,4,6,7
708,216,40,4,2,0,4,6,7
678,206,46,6,4,0,3,6,8
678,206,46,6,4,0,3,6,8
714,220,58,4,2,0,3,7,8
714,220,58,4,2,0,3,7,8
786,244,56,4,2,0,4,7,8
768,236,62,4,2,0,3,7,8
666,204,54,6,2,0,3,6,7
666,204,54,6,2,0,3,6,7
654,206,48,6,0,0,3,6,6
654,206,48,6,0,0,3,6,6
618,194,46,8,0,0,3,6,6
564,176,42,6,0,0,3,6,6
516,164,36,6,0,0,3,5,5
516,164,36,6,0,0,3,5,5
576,180,40,2,0,0,3,5,5
576,180,40,2,0,0,3,5,5
612,190,36,2,0,0,3,5,5
612,188,38,2,0,0,3,5,5
708,212,36,0,0,0,4,5,5
708,212,36,0,0,0,4,5,5
708,210,34,0,0,0,4,5,5
708,210,34,0,0,0,4,5,5
762,230,54,10,0,0,4,8,8
738,220,56,12,0,0,4,8,8
642,186,48,24,0,0,3,9,9
642,186,48,24,0,0,3,9,9
528,160,46,20,0,0,2,8,8
528,160,46,20,0,0,2,8,8
480,148,46,14,2,0,2,6,7
480,148,46,14,2,0,2,6,7
414,134,42,10,2,0,2,5,6
444,142,42,8,2,0,2,5,6
510,154,38,6,2,0,2,4,6
510,154,38,6,2,0,2,4,6
594,176,38,4,2,0,2,4,5
594,176,38,4,2,0,2,4,5
624,184,40,0,0,0,3,4,4
630,182,42,0,0,0,3,4,4
606,176,44,0,0,0,3,5,5
606,176,44,0,0,0,3,5,5
576,176,44,0,0,0,1,4,4
576,176,44,0,0,0,1,4,4
564,172,38,0,0,0,2,4,4